image,class,risk,crop,xtl,ytl,xbr,ybr
V006_77_0_00_03_03_12_0_c17_20201217_0030_S01_1.jpg,0,0,3,639,185,2887,2720
V006_77_1_08_04_03_13_2_4660w_20201120_17.jpg,1,2,4,1215,0,2819,1811
V006_77_0_00_03_03_12_0_c16_20201217_0040_S01_1.JPG,0,0,3,0,897,2790,4027
V006_77_0_00_10_03_12_0_c36_20201224_0597_S01_1.jpg,0,0,10,357,329,2851,3139
V006_77_0_00_01_03_13_0_c10_20201210_0706_S01_1.jpg,0,0,1,438,636,2579,3732
V006_77_0_00_01_03_13_0_c09_20201209_0291_S01_1.jpg,0,0,1,627,401,2208,3211
V006_77_0_00_04_03_12_0_c25_20201210_0270_S01_1.jpg,0,0,4,0,766,2972,3478
V006_77_1_17_10_03_13_2_9928r_20201116_81.JPG,1,2,10,652,737,3548,3024
V006_77_0_00_06_03_13_0_c15_20210107_0100_S01_1.jpg,0,0,6,103,1248,1696,3018
V006_77_0_00_03_03_11_0_c17_20201119_0001_S01_2.jpg,0,0,3,230,712,2671,3251
V006_77_0_00_03_03_12_0_c07_20201216_0103_S01_1.JPG,0,0,3,441,1228,2619,3474
V006_77_1_02_01_03_13_3_6835q_20201105_72.jpg,1,3,1,154,179,484,587
V006_77_0_00_01_03_13_0_c04_20201202_0342_S01_1.JPG,0,0,1,440,690,2670,3460
V006_77_1_02_01_03_13_1_6835q_20201119_116.jpg,1,1,1,105,67,555,887
V006_77_0_00_06_03_13_0_c17_20210107_0169_S01_1.jpg,0,0,6,284,264,2716,3444
V006_77_0_00_04_03_12_0_a03_20201022_0032_S01_1.jpg,0,0,4,318,452,2000,2178
V006_77_0_00_10_03_12_0_c35_20201222_0068_S01_1.JPG,0,0,10,175,933,2801,3346
V006_77_0_00_04_03_13_0_c18_20201207_0275_S01_1.JPG,0,0,4,522,770,2666,3178
V006_77_0_00_10_03_12_0_c35_20201222_1192_S01_1.JPG,0,0,10,497,1132,2716,3582
V006_77_0_00_04_03_13_0_c37_20201208_0108_S01_1.jpg,0,0,4,533,159,4013,3428
V006_77_0_00_04_03_13_0_c36_20201208_0049_S01_1.jpg,0,0,4,321,1302,2707,3506
V006_77_0_00_01_03_13_0_c03_20201210_0548_S01_1.jpg,0,0,1,315,558,2022,3240
V006_77_1_12_06_03_13_2_0254w_20201130_17.jpg,1,2,6,844,714,3544,2946
V006_77_1_12_06_03_13_3_6022w_20201110_3.jpg,1,3,6,212,188,3840,3024
V006_77_1_06_03_03_12_1_4580t_20200918_6.jpg,1,1,3,621,6,2971,1594
V006_77_1_17_10_03_13_1_4832r_20201012_27.JPG,1,1,10,904,276,3404,2672
V006_77_0_00_10_03_11_0_c34_20201209_0721_S01_1.JPG,0,0,10,438,862,2529,2898
V006_77_0_00_06_03_13_0_c38_20201130_0037_S01_1.JPG,0,0,6,0,272,3568,2680
